gameid,url,league,year,date,game,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,total cs
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,7,Red,jng,Shook,Alliance,Vi,Kassadin,Kha'Zix,Ziggs,,,2474,0,1,2,6,115
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,8,Red,mid,Froggen,Alliance,Gragas,Kassadin,Kha'Zix,Ziggs,,,2474,0,2,1,2,342
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,9,Red,bot,Tabzz,Alliance,Caitlyn,Kassadin,Kha'Zix,Ziggs,,,2474,0,4,5,2,267
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,10,Red,sup,Nyph,Alliance,Thresh,Kassadin,Kha'Zix,Ziggs,,,2474,0,1,4,4,29
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,100,Blue,team,,Copenhagen Wolves,,Lee Sin,Annie,Yasuo,,,2474,1,14,9,39,
TRLH3/44,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/44?gameHash=fbc64f032b61b97a&amp;tab=overview,EU LCS,2014,1/14/2014 19:16,1,200,Red,team,,Alliance,,Kassadin,Kha'Zix,Ziggs,,,2474,0,9,14,16,
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,1,Blue,top,Wickd,Alliance,Shyvana,Kassadin,Annie,Orianna,,,2629,0,1,3,4,331
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,2,Blue,jng,Shook,Alliance,Lee Sin,Kassadin,Annie,Orianna,,,2629,0,0,1,5,154
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,3,Blue,mid,Froggen,Alliance,Gragas,Kassadin,Annie,Orianna,,,2629,0,2,3,4,402
TRLH3/76,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/76?gameHash=fdae41209fb2d1ec&amp;tab=overview,EU LCS,2014,1/14/2014 21:28,1,4,Blue,bot,Tabzz,Alliance,Vayne,Kassadin,Annie,Orianna,,,2629,0,3,3,1,284
